Typical Measured Spectrum of Semrock NF03-594E Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
599.4	6.433e-06
599.6	7.6149e-06
599.8	9.014e-06
600.0	1.0014e-05
600.2	1.189e-05
600.4	1.5215e-05
600.6	1.9469e-05
600.8	2.4735e-05
601.0	3.1416e-05
601.2	3.8966e-05
601.4	4.7003e-05
601.6	6.5863e-05
601.8	9.229e-05
602.0	1.2855e-04
602.2	1.7798e-04
602.4	2.4641e-04
602.6	3.8244e-04
602.8	4.7593e-04
603.0	6.9794e-04
603.2	0.00103
603.4	0.00157
603.6	0.00249
603.8	0.00403
604.0	0.00679
604.2	0.0114
604.4	0.0199
604.6	0.03581
604.8	0.0644
605.0	0.11151
605.2	0.17738
605.4	0.28538
605.6	0.35001
605.8	0.40822
606.0	0.46797
606.2	0.53916
606.4	0.62542
606.6	0.72036
606.8	0.80914
607.0	0.87708
607.2	0.91983
607.4	0.93691
607.6	0.93499
607.8	0.92377
608.0	0.91786
608.2	0.91257
608.4	0.91164
608.6	0.91689
608.8	0.92482
609.0	0.93444
609.2	0.94578
609.4	0.95543
609.6	0.96127
609.8	0.96302
610.0	0.96202
610.2	0.95864
610.4	0.95439
610.6	0.95051
610.8	0.94832
611.0	0.94907
611.2	0.95071
611.4	0.95396
611.6	0.95802
611.8	0.96189
612.0	0.96631
612.2	0.96989
612.4	0.97214
612.6	0.97262
612.8	0.97227
613.0	0.96988
613.2	0.96802
613.4	0.9665
613.6	0.96524
613.8	0.96576
614.0	0.96671
614.2	0.96711
614.4	0.96881
614.6	0.97089
614.8	0.97311
615.0	0.97556
615.2	0.97604
615.4	0.97666
615.6	0.9761
615.8	0.97391
616.0	0.97175
616.2	0.96835
616.4	0.96721
616.6	0.96577
616.8	0.96334
617.0	0.96184
617.2	0.96083
617.4	0.96148
617.6	0.96305
617.8	0.96334
618.0	0.9641
618.2	0.96379
618.4	0.96219
618.6	0.96269
618.8	0.9607
619.0	0.95993
619.2	0.95777
619.4	0.95507
619.6	0.95241
619.8	0.94969
620.0	0.94833
620.2	0.94865
620.4	0.94942
620.6	0.95002
620.8	0.95071
621.0	0.9523
621.2	0.95517
621.4	0.95826
621.6	0.96088
621.8	0.96271
622.0	0.96399
622.2	0.96466
622.4	0.96454
622.6	0.96461
622.8	0.96385
623.0	0.96324
623.2	0.96259
623.4	0.96092
623.6	0.95943
623.8	0.9591
