Typical Measured Spectrum of Semrock FF614-SDi01 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
486.2	0.97063
486.4	0.97205
486.6	0.97118
486.8	0.97317
487.0	0.97274
487.2	0.97158
487.4	0.97181
487.6	0.97175
487.8	0.97278
488.0	0.97169
488.2	0.97293
488.4	0.97415
488.6	0.97356
488.8	0.97434
489.0	0.97424
489.2	0.97493
489.4	0.97717
489.6	0.97663
489.8	0.97676
490.0	0.97735
490.2	0.97608
490.4	0.97599
490.6	0.97485
490.8	0.97518
491.0	0.97587
491.2	0.97738
491.4	0.97578
491.6	0.97722
491.8	0.97778
492.0	0.97735
492.2	0.97693
492.4	0.97715
492.6	0.97807
492.8	0.97587
493.0	0.97538
493.2	0.97365
493.4	0.97375
493.6	0.97425
493.8	0.97491
494.0	0.97415
494.2	0.97431
494.4	0.97432
494.6	0.97197
494.8	0.97366
495.0	0.97363
495.2	0.97414
495.4	0.97143
495.6	0.9712
495.8	0.97066
496.0	0.97108
496.2	0.96995
496.4	0.96946
496.6	0.97013
496.8	0.96949
497.0	0.96889
497.2	0.96701
497.4	0.96624
497.6	0.96801
497.8	0.96817
498.0	0.96911
498.2	0.96806
498.4	0.96648
498.6	0.96837
498.8	0.9706
499.0	0.96983
499.2	0.9688
499.4	0.9682
499.6	0.96719
499.8	0.96847
500.0	0.96881
500.2	0.96981
500.4	0.96576
500.6	0.96612
500.8	0.96743
501.0	0.96796
501.2	0.96783
501.4	0.96738
501.6	0.96809
501.8	0.96789
502.0	0.9666
502.2	0.96785
502.4	0.96889
502.6	0.96832
502.8	0.96748
503.0	0.9675
503.2	0.96639
503.4	0.96839
503.6	0.96643
503.8	0.96506
504.0	0.96656
504.2	0.96698
504.4	0.96854
504.6	0.96812
504.8	0.96849
505.0	0.96732
505.2	0.96468
505.4	0.96548
505.6	0.96634
505.8	0.96663
506.0	0.96467
506.2	0.96355
506.4	0.9643
506.6	0.96534
506.8	0.96313
507.0	0.96206
507.2	0.96331
507.4	0.96342
507.6	0.96297
507.8	0.96166
508.0	0.96186
508.2	0.96314
508.4	0.96178
508.6	0.95919
508.8	0.95974
509.0	0.96094
509.2	0.96133
509.4	0.96082
509.6	0.96236
509.8	0.96251
510.0	0.96211
510.2	0.96433
510.4	0.96398
510.6	0.96239
510.8	0.96198
511.0	0.96422
511.2	0.96574
511.4	0.96509
511.6	0.9656
511.8	0.96563
512.0	0.96523
512.2	0.96521
512.4	0.96523
512.6	0.96639
512.8	0.96597
513.0	0.96643
513.2	0.96691
513.4	0.96928
513.6	0.96972
513.8	0.96903
514.0	0.96767
514.2	0.96598
514.4	0.96652
514.6	0.96536
514.8	0.96809
515.0	0.96817
515.2	0.96774
515.4	0.96723
515.6	0.96572
515.8	0.96675
516.0	0.96636
516.2	0.96677
516.4	0.96706
516.6	0.96838
516.8	0.96539
517.0	0.96336
517.2	0.96379
517.4	0.96457
517.6	0.96204
517.8	0.96219
518.0	0.96031
518.2	0.96222
518.4	0.96121
518.6	0.95985
518.8	0.95892
519.0	0.95775
519.2	0.95594
519.4	0.95402
519.6	0.95428
519.8	0.95463
520.0	0.954
520.2	0.95317
520.4	0.95299
520.6	0.95149
520.8	0.95049
521.0	0.9497
521.2	0.94786
521.4	0.94792
521.6	0.95027
521.8	0.94931
522.0	0.94719
522.2	0.94805
522.4	0.94694
522.6	0.94829
522.8	0.94969
523.0	0.94762
523.2	0.94724
523.4	0.94773
523.6	0.9466
523.8	0.94625
524.0	0.9471
524.2	0.94558
