Typical Measured Spectrum of Semrock FF01-612/SP Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
722.2	9.9285e-06
722.4	1.0023e-05
722.6	1.0119e-05
722.8	1.0215e-05
723.0	1.0313e-05
723.2	1.0411e-05
723.4	1.051e-05
723.6	1.061e-05
723.8	1.0711e-05
724.0	1.0814e-05
724.2	1.0917e-05
724.4	1.1021e-05
724.6	1.1126e-05
724.8	1.1232e-05
725.0	1.1339e-05
725.2	1.1458e-05
725.4	1.1584e-05
725.6	1.1711e-05
725.8	1.1839e-05
726.0	1.1968e-05
726.2	1.2099e-05
726.4	1.2232e-05
726.6	1.2366e-05
726.8	1.2501e-05
727.0	1.2638e-05
727.2	1.2776e-05
727.4	1.2916e-05
727.6	1.3057e-05
727.8	1.32e-05
728.0	1.3345e-05
728.2	1.3491e-05
728.4	1.3638e-05
728.6	1.3788e-05
728.8	1.4037e-05
729.0	1.4379e-05
